course_name,event_id,year,event_name,n,am_tee,pm_tee,am_score,pm_score,r1_date,gap_score,lat,lon,am_wind,pm_wind,am_gust,pm_gust,wind_gap,gust_gap
Pebble Beach Golf Links,5,2023,AT&T Pebble Beach Pro-Am,155,9.05,10.15,70.4929577464789,71.7261904761905,2023-02-02,1.2332327297116,36.5696646,-121.9497413,2.65,2.88333333333333,8.28333333333333,8.76666666666667,0.233333333333333,0.483333333333333
Port Royal Golf Course,528,2021,Butterfield Bermuda Championship,126,8.5,13.1666666666667,74.1935483870968,71.265625,2021-10-28,-2.92792338709677,32.254,-64.877,26.7166666666667,23.9833333333333,36.25,32.45,-2.73333333333333,-3.8
Port Royal Golf Course,528,2022,Butterfield Bermuda Championship,132,8.54166666666667,13.2083333333333,67.6212121212121,67.9393939393939,2022-10-27,0.318181818181813,32.254,-64.877,5.18333333333333,2.56666666666667,10.8166666666667,6.35,-2.61666666666667,-4.46666666666667
Port Royal Golf Course,528,2024,Butterfield Bermuda Championship,120,7.825,12.325,70.65,71.0166666666667,2024-11-14,0.36666666666666,32.254,-64.877,26.2,25.3166666666667,35.9,34.5833333333333,-0.883333333333333,-1.31666666666666
Port Royal Golf Course,528,2025,Butterfield Bermuda Championship,120,7.825,12.325,73.4,70.5,2025-11-13,-2.90000000000001,32.254,-64.877,23.1333333333333,23.6666666666667,30.25,31.5833333333333,0.533333333333335,1.33333333333334
Quail Hollow Club,480,2021,Wells Fargo Championship,155,7.84166666666667,13.0833333333333,72.0555555555556,71.6626506024096,2021-05-06,-0.392904953145916,35.114081,-80.841676,7.08333333333333,7.73333333333333,18.5166666666667,19.3,0.65,0.783333333333335
Quail Hollow Club,480,2023,Wells Fargo Championship,154,7.93333333333333,13.2666666666667,72.1428571428571,71.2987012987013,2023-05-04,-0.844155844155836,35.114081,-80.841676,4.38333333333333,4.4,10.6,12.5333333333333,0.0166666666666666,1.93333333333333
Quail Hollow Club,480,2024,Wells Fargo Championship,68,12.3666666666667,13.4666666666667,70.8333333333333,71.1315789473684,2024-05-09,0.298245614035096,35.114081,-80.841676,13.5833333333333,13.9,26.45,27.6,0.316666666666666,1.15
Quail Hollow-PGA Championship,33,2025,PGA Championship,156,8.14166666666667,13.5583333333333,72.5897435897436,72.9230769230769,2025-05-15,0.333333333333329,35.114,-80.842,6.38333333333333,9.65,14.8166666666667,21.95,3.26666666666667,7.13333333333333
Royal Liverpool,100,2023,The Open Championship,156,8.91666666666667,13.9333333333333,72.7435897435897,73.7564102564103,2023-07-20,1.01282051282053,53.3892,-3.188,10.6333333333333,12.4166666666667,20.7,24.9166666666667,1.78333333333333,4.21666666666667
